iter	Passed	Remaining
319	571	1213
320	572	1211
321	574	1209
322	575	1206
323	576	1203
324	578	1200
325	579	1198
326	580	1195
327	582	1192
328	583	1189
329	584	1186
330	585	1183
331	586	1180
332	587	1177
333	589	1175
334	590	1172
335	591	1169
336	592	1166
337	594	1164
338	595	1161
339	596	1158
340	597	1155
341	599	1152
342	600	1150
343	601	1147
344	602	1144
345	604	1141
346	605	1138
347	606	1136
348	607	1133
349	608	1130
350	610	1128
351	611	1125
352	612	1122
353	613	1120
354	614	1117
355	616	1114
356	617	1112
357	618	1109
358	619	1106
359	621	1104
360	622	1101
361	623	1098
362	624	1096
363	625	1093
364	627	1091
365	628	1088
366	629	1085
367	631	1083
368	632	1081
369	633	1078
370	634	1076
371	635	1073
372	637	1070
373	638	1068
374	639	1065
375	640	1063
376	642	1061
377	643	1058
378	644	1055
379	645	1053
380	647	1051
381	648	1048
382	649	1046
383	650	1043
384	651	1041
385	652	1038
386	654	1036
387	655	1033
388	656	1031
389	657	1029
390	659	1026
391	660	1024
392	661	1021
393	662	1019
394	663	1016
395	665	1014
396	666	1012
397	667	1009
398	668	1007
399	669	1004
400	670	1002
401	672	1000
402	673	998
403	675	996
404	676	994
405	677	991
406	678	989
407	680	986
408	681	984
409	682	982
410	683	979
411	684	977
412	686	975
413	687	972
414	688	970
415	691	970
416	692	967
417	693	965
418	694	963
419	696	961
420	697	958
421	698	956
422	699	954
423	700	951
424	701	949
425	703	947
426	704	945
427	705	942
428	706	940
429	707	938
430	708	935
431	710	933
432	711	931
433	712	929
434	713	926
435	714	924
436	715	922
437	717	920
438	718	918
439	719	916
440	721	913
441	722	911
442	723	909
443	724	907
444	725	905
445	726	902
446	727	900
447	729	898
448	730	896
449	731	893
450	732	891
451	733	889
452	735	887
453	736	885
454	737	883
455	738	881
456	739	878
457	740	876
458	742	874
459	743	872
460	744	870
461	745	868
462	746	865
463	747	864
464	749	861
465	750	859
466	751	857
467	752	855
468	753	853
469	754	851
470	756	849
471	757	847
472	758	844
473	759	842
474	760	840
475	762	839
476	764	837
477	765	836
478	766	834
479	768	832
480	769	830
481	770	828
482	771	825
483	772	823
484	773	821
485	775	819
486	776	817
487	777	815
488	778	813
489	779	811
490	780	809
491	782	807
492	783	805
493	784	803
494	785	801
495	786	799
496	787	797
497	789	795
498	790	793
499	791	791
500	792	789
501	794	787
502	795	785
503	796	783
504	797	781
505	798	779
506	799	777
507	801	775
508	802	773
509	803	771
510	804	770
511	806	768
512	807	766
513	808	764
514	809	762
515	810	760
516	811	758
517	812	756
518	814	754
519	815	752
520	816	750
521	817	748
522	818	746
523	820	745
524	821	743
525	822	741
526	823	739
527	824	737
528	825	735
529	827	733
530	828	731
531	829	729
532	830	727
533	831	725
534	832	723
535	834	722
536	835	720
537	836	718
538	837	716
539	838	714
540	839	712
541	841	710
542	842	708
543	843	706
544	844	705
545	845	703
546	846	701
547	848	699
548	849	697
549	850	695
550	851	693
551	852	692
552	854	690
553	855	688
554	856	686
555	857	684
556	858	682
557	859	680
558	860	678
559	861	677
560	863	675
561	864	673
562	865	671
563	866	670
564	867	668
565	869	666
566	870	664
567	871	662
568	872	661
569	873	659
570	875	657
571	876	655
572	877	653
573	878	652
574	880	650
575	881	648
576	882	646
577	883	645
578	884	643
579	885	641
580	886	639
581	887	637
582	889	635
583	890	634
584	891	632
585	893	631
586	894	629
587	895	627
588	897	626
589	898	624
590	900	623
591	901	621
592	903	619
593	904	618
594	905	616
595	907	614
596	908	613
597	909	611
598	911	610
599	912	608
600	914	607
601	915	605
602	917	604
603	919	602
604	920	601
605	922	599
606	923	598
607	925	596
608	927	595
609	928	593
610	930	592
611	931	590
612	933	589
613	934	587
614	936	586
615	937	584
616	938	582
617	940	581
618	941	579
619	943	578
620	944	576
621	946	574
622	947	573
623	948	571
624	950	570
625	952	568
626	953	567
627	954	565
628	956	564
629	957	562
630	959	560
631	960	559
632	961	557
633	963	556
634	964	554
635	966	553
636	967	551
637	969	549
638	970	548
639	971	546
640	973	545
641	974	543
642	976	542
643	977	540
644	979	538
645	980	537
646	981	535
647	983	534
648	984	532
649	985	530
650	986	528
651	987	527
652	988	525
653	990	523
654	991	522
655	992	520
656	993	518
657	995	517
658	996	515
659	997	514
660	999	512
661	1000	510
662	1001	508
663	1002	507
664	1003	505
665	1004	503
666	1006	502
667	1007	500
668	1008	498
669	1009	497
670	1011	495
671	1012	494
672	1014	493
673	1016	491
674	1017	490
675	1019	488
676	1021	487
677	1023	485
678	1024	484
679	1026	482
680	1028	481
681	1029	480
682	1031	478
683	1032	477
684	1034	475
685	1035	474
686	1037	472
687	1039	471
688	1040	469
689	1042	468
690	1044	466
691	1045	465
692	1047	463
693	1048	462
694	1050	461
695	1052	459
696	1053	458
697	1055	456
698	1056	454
699	1057	453
700	1059	451
701	1061	450
702	1062	448
703	1063	447
704	1065	445
705	1066	444
706	1068	442
707	1069	441
708	1071	439
709	1072	438
710	1073	436
711	1074	434
712	1076	433
713	1077	431
714	1078	429
715	1080	428
716	1081	426
717	1082	425
718	1083	423
719	1084	421
720	1086	420
721	1087	418
722	1088	417
723	1089	415
724	1091	413
725	1092	412
726	1093	410
727	1095	409
728	1096	407
729	1097	405
730	1098	404
731	1099	402
732	1100	401
733	1102	399
734	1103	397
735	1104	396
736	1105	394
737	1107	393
738	1108	391
739	1109	389
740	1110	388
741	1112	386
742	1113	385
743	1114	383
744	1115	381
745	1116	380
746	1117	378
747	1119	377
748	1120	375
749	1121	373
750	1122	372
751	1124	370
752	1125	369
753	1126	367
754	1127	365
755	1128	364
756	1130	362
757	1131	361
758	1132	359
759	1133	357
760	1134	356
761	1135	354
762	1138	353
763	1140	352
764	1141	350
765	1142	349
766	1144	347
767	1145	345
768	1146	344
769	1147	342
770	1148	341
771	1149	339
772	1151	338
773	1152	336
774	1153	334
775	1154	333
776	1156	331
777	1157	330
778	1158	328
779	1159	327
780	1160	325
781	1162	323
782	1163	322
783	1164	320
784	1165	319
785	1167	317
786	1168	316
787	1169	314
788	1171	313
789	1172	311
790	1173	310
791	1174	308
792	1175	306
793	1176	305
794	1178	303
795	1179	302
796	1180	300
797	1181	299
798	1182	297
799	1184	296
800	1185	294
801	1186	292
802	1187	291
803	1189	289
804	1190	288
805	1191	286
806	1192	285
807	1193	283
808	1195	282
809	1196	280
810	1198	279
811	1199	277
812	1200	276
813	1202	274
814	1203	273
815	1204	271
816	1205	269
817	1206	268
818	1207	266
819	1209	265
820	1210	263
821	1212	262
822	1213	260
823	1214	259
824	1216	257
825	1217	256
826	1218	254
827	1219	253
828	1220	251
829	1221	250
830	1223	248
831	1224	247
832	1225	245
833	1227	244
834	1228	242
835	1229	241
836	1230	239
837	1231	238
838	1233	236
839	1234	235
840	1235	233
841	1236	232
842	1238	230
843	1239	229
844	1240	227
845	1241	226
846	1242	224
847	1243	222
848	1245	221
849	1246	219
850	1247	218
851	1249	216
852	1250	215
853	1251	213
854	1252	212
855	1254	210
856	1255	209
857	1256	207
858	1257	206
859	1258	204
860	1259	203
861	1261	201
862	1262	200
863	1263	198
864	1264	197
865	1266	195
866	1267	194
867	1268	192
868	1270	191
869	1271	189
870	1272	188
871	1273	186
872	1274	185
873	1276	183
874	1277	182
875	1278	180
876	1279	179
877	1280	177
878	1282	176
879	1283	175
880	1284	173
881	1285	172
882	1287	170
883	1288	169
884	1289	167
885	1290	166
886	1291	164
887	1293	163
888	1294	161
889	1295	160
890	1297	158
891	1298	157
892	1299	155
893	1300	154
894	1301	152
895	1302	151
896	1304	149
897	1305	148
898	1306	146
899	1307	145
900	1308	143
901	1310	142
902	1311	140
903	1312	139
904	1313	137
905	1315	136
906	1316	134
907	1317	133
908	1318	131
909	1319	130
910	1320	129
911	1322	127
912	1323	126
913	1324	124
914	1325	123
915	1327	121
916	1328	120
917	1329	118
918	1330	117
919	1331	115
920	1332	114
921	1334	112
922	1335	111
923	1336	109
924	1337	108
925	1339	107
926	1340	105
927	1342	104
928	1343	102
929	1344	101
930	1345	99
931	1346	98
932	1348	96
933	1349	95
934	1350	93
935	1351	92
936	1352	90
937	1353	89
938	1355	88
939	1356	86
940	1357	85
941	1358	83
942	1360	82
943	1361	80
944	1362	79
945	1363	77
946	1364	76
947	1365	74
948	1367	73
949	1368	72
950	1369	70
951	1370	69
952	1372	67
953	1373	66
954	1374	64
955	1375	63
956	1376	61
957	1378	60
958	1379	58
959	1380	57
960	1381	56
961	1382	54
962	1383	53
963	1385	51
964	1386	50
965	1388	48
966	1389	47
967	1390	45
968	1391	44
969	1392	43
970	1394	41
971	1395	40
972	1396	38
973	1397	37
974	1398	35
975	1400	34
976	1401	32
977	1402	31
978	1403	30
979	1404	28
980	1406	27
981	1407	25
982	1408	24
983	1409	22
984	1410	21
985	1411	20
986	1413	18
987	1414	17
988	1415	15
989	1417	14
990	1418	12
991	1419	11
992	1420	10
993	1422	8
994	1423	7
995	1424	5
996	1425	4
997	1426	2
998	1428	1
999	1429	0
